skills,predicted_role
"r, data mining, machine learning, regression",Data Scientist
"android, kotlin, java, xml",Android Developer
"html, css, javascript, react",Frontend Developer
"html, css, javascript, react",Frontend Developer
"nlp, deep learning, keras, tensorflow",ML Engineer
"ios, swift, objective-c, xcode",iOS Developer
"nodejs, express, mongodb, react",Full Stack Developer
"python, django, flask, pandas",Data Scientist
"android, kotlin, java, xml",Android Developer
"ios, swift, objective-c, xcode",iOS Developer
"html, css, javascript, react",Frontend Developer
"android, kotlin, java, xml",Android Developer
"r, data mining, machine learning, regression",Data Scientist
"ios, swift, objective-c, xcode",iOS Developer
"sql, tableau, powerbi, statistics",Data Analyst
"python, django, flask, pandas",Data Scientist
"ios, swift, objective-c, xcode",iOS Developer
"python, django, flask, pandas",Data Scientist
"figma, adobe xd, sketch, wireframing",UI/UX Designer
"sql, tableau, powerbi, statistics",Data Analyst
"android, kotlin, java, xml",Android Developer
"nlp, deep learning, keras, tensorflow",ML Engineer
"ios, swift, objective-c, xcode",iOS Developer
"sql, tableau, powerbi, statistics",Data Analyst
"nodejs, express, mongodb, react",Full Stack Developer
"android, kotlin, java, xml",Android Developer
"java, spring, hibernate, sql",Backend Developer
"python, django, flask, pandas",Data Scientist
"figma, adobe xd, sketch, wireframing",UI/UX Designer
"nodejs, express, mongodb, react",Full Stack Developer
"r, data mining, machine learning, regression",Data Scientist
"figma, adobe xd, sketch, wireframing",UI/UX Designer
"sql, tableau, powerbi, statistics",Data Analyst
"nlp, deep learning, keras, tensorflow",ML Engineer
"figma, adobe xd, sketch, wireframing",UI/UX Designer
"java, spring, hibernate, sql",Backend Developer
"r, data mining, machine learning, regression",Data Scientist
"figma, adobe xd, sketch, wireframing",UI/UX Designer
"r, data mining, machine learning, regression",Data Scientist
"nlp, deep learning, keras, tensorflow",ML Engineer
"figma, adobe xd, sketch, wireframing",UI/UX Designer
"nlp, deep learning, keras, tensorflow",ML Engineer
"html, css, javascript, react",Frontend Developer
"figma, adobe xd, sketch, wireframing",UI/UX Designer
"python, django, flask, pandas",Data Scientist
"nodejs, express, mongodb, react",Full Stack Developer
"sql, tableau, powerbi, statistics",Data Analyst
"ios, swift, objective-c, xcode",iOS Developer
"python, django, flask, pandas",Data Scientist
"nlp, deep learning, keras, tensorflow",ML Engineer
"r, data mining, machine learning, regression",Data Scientist
"ios, swift, objective-c, xcode",iOS Developer
"html, css, javascript, react",Frontend Developer
"android, kotlin, java, xml",Android Developer
"nodejs, express, mongodb, react",Full Stack Developer
"nlp, deep learning, keras, tensorflow",ML Engineer
"html, css, javascript, react",Frontend Developer
"android, kotlin, java, xml",Android Developer
"android, kotlin, java, xml",Android Developer
"android, kotlin, java, xml",Android Developer
"android, kotlin, java, xml",Android Developer
"nodejs, express, mongodb, react",Full Stack Developer
"sql, tableau, powerbi, statistics",Data Analyst
"ios, swift, objective-c, xcode",iOS Developer
"figma, adobe xd, sketch, wireframing",UI/UX Designer
"sql, tableau, powerbi, statistics",Data Analyst
"html, css, javascript, react",Frontend Developer
"ios, swift, objective-c, xcode",iOS Developer
"nodejs, express, mongodb, react",Full Stack Developer
"python, django, flask, pandas",Data Scientist
"python, django, flask, pandas",Data Scientist
"figma, adobe xd, sketch, wireframing",UI/UX Designer
"html, css, javascript, react",Frontend Developer
"sql, tableau, powerbi, statistics",Data Analyst
"nlp, deep learning, keras, tensorflow",ML Engineer
"html, css, javascript, react",Frontend Developer
"android, kotlin, java, xml",Android Developer
"python, django, flask, pandas",Data Scientist
"html, css, javascript, react",Frontend Developer
"android, kotlin, java, xml",Android Developer
"ios, swift, objective-c, xcode",iOS Developer
"sql, tableau, powerbi, statistics",Data Analyst
"ios, swift, objective-c, xcode",iOS Developer
"r, data mining, machine learning, regression",Data Scientist
"sql, tableau, powerbi, statistics",Data Analyst
"python, django, flask, pandas",Data Scientist
"sql, tableau, powerbi, statistics",Data Analyst
"html, css, javascript, react",Frontend Developer
"python, django, flask, pandas",Data Scientist
"nlp, deep learning, keras, tensorflow",ML Engineer
"android, kotlin, java, xml",Android Developer
"html, css, javascript, react",Frontend Developer
"android, kotlin, java, xml",Android Developer
"sql, tableau, powerbi, statistics",Data Analyst
"ios, swift, objective-c, xcode",iOS Developer
"r, data mining, machine learning, regression",Data Scientist
"html, css, javascript, react",Frontend Developer
"sql, tableau, powerbi, statistics",Data Analyst
"ios, swift, objective-c, xcode",iOS Developer
"nodejs, express, mongodb, react",Full Stack Developer
